F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
1,1,78,-0.23,-0.7,-1.26,0.38,-0.42,16,-4,0.26,-0.85,0.7,-16,-0.98,-0.51,-0.54,-0.02,2.5,NaN,False
1,0,281,0.02,1.94,0.51,0.62,-0.83,29,19,-1.15,0.45,1.71,3,1.13,0.04,-1.51,-1.41,5.1,0.85,False
1,0,139,0.67,1.53,1.26,2.73,0.57,81,-40,0.81,-0.29,0.66,15,-0.56,-1.13,0.44,-0.01,12.2,NaN,False
0,1,108,3.9,-2.05,-0.38,0.24,-0.71,35,-11,-0.09,0.75,0.56,2,-1.66,-1.48,-1.25,-1.42,21.1,-3.03,True
0,0,11,-2.07,-0.46,-0.66,1.67,-0.5,21,4,-0.91,0.83,1.09,-7,0.52,-0.36,1,-0.58,9,NaN,True
1,1,72,-0.2,0.26,0.47,-0.36,-0.28,27,-11,-0.43,0.15,0.47,11,-0.64,-0.87,-0.17,-1.24,0.5,0.37,False
1,0,26,1.01,-2.4,-1.43,-1.17,-1.34,31,-9,-1.36,-0.36,0.18,-13,0.57,1.3,0.86,-0.47,12,-1.57,False
1,0,32,0.26,0.64,-0.2,-0.45,-0.54,29,-9,-0.69,-1.33,0.58,-3,-1.53,2.13,-0.2,-0.17,2,-0.01,True
0,1,14,-2.07,0.18,1.21,0.35,-0.22,55,12,-0.35,-0.32,0.39,6,1.12,2.15,0.56,-0.8,6,NaN,False
1,0,66,2.47,-1.51,-0.63,-0.86,-1.36,47,5,-1.85,0.24,0.29,7,0.31,-0.96,-0.48,-0.02,11.4,-3.39,False
0,0,85,-1,-0.95,-0.41,-0.14,0.06,32,15,-0.43,-0.05,0.2,-3,0.12,-1.59,-0.53,0.19,2.1,0.17,False
1,1,28,-0.48,-0.95,-0.65,2.08,1,30,-7,0.18,-0.09,1.29,-13,0.31,0.6,-0.13,-1.36,7.9,NaN,True
0,0,36,-0.38,0.57,0.16,0.6,-0.75,55,-8,-1.05,-0.83,1.75,11,1.34,-0.19,-0.51,-1.9,2.4,0.83,True
1,0,221,2.86,0.16,-2.01,0.78,1.1,37,-15,0.02,-1.58,1.03,12,1.42,0.41,-0.31,-1.65,14.1,NaN,False
1,0,338,2.19,0.36,0.03,-0.11,-1.47,3,-6,-1.09,-0.25,2.19,25,-0.06,-0.66,-1.9,0.16,7.1,-4.37,False
1,0,92,-1.58,-0.01,1.47,1.55,-1.06,9,7,-1.14,-2.09,0.14,-7,-0.59,1.22,-0.34,-0.32,9.2,4.71,True
1,1,131,-2.52,0.44,0.38,1.21,-0.69,55,-12,0.34,0.11,1.35,15,-0.1,2.79,1.18,-0.1,8.6,-1.45,False
1,0,13,-0.19,-0.4,-0.42,-1.28,-1.09,76,10,-2.2,0.74,0.04,5,1.3,-1.53,-1.67,-0.01,3.2,NaN,False
1,1,97,-0.65,-0.8,0.07,1.22,0.58,18,16,0.82,-0.59,1.24,-12,-1.68,-1.38,0.11,0.57,2.9,NaN,False
1,0,41,-0.54,0.6,-0.67,0.38,0.35,37,-6,0.07,-1.19,1.57,3,-0.53,-1.43,-0.69,-0.67,2.4,NaN,True
1,0,66,1.92,-0.64,-0.24,1.25,-0.48,39,16,0.47,-1.97,0.83,-4,1.45,2.88,0.07,-0.4,6.9,-1.21,True
0,1,173,0.43,-0.32,1.09,0.91,-0.86,6,-1,-0.39,-1.22,1.74,10,-0.75,-0.24,-2.31,-0.81,3,-0.15,False
1,1,99,-0.9,-0.3,-1.03,0.97,-0.82,21,18,-0.37,-0.71,2.73,14,0.22,2.29,0.44,0.23,4.6,NaN,True
0,1,78,-0.56,0.36,-1.09,1.32,-2.23,14,7,0.23,1,1.58,-22,-0.7,1.23,0.5,-1.33,8.3,NaN,False
1,1,285,-1.63,-1.09,-0.42,2.21,-0.63,51,-2,0.87,1.43,0.74,-2,1.35,-1.43,-1.31,-0.11,9.3,0.41,False
1,1,247,-1.1,2.27,-1.33,1.79,1.29,20,2,-0.63,-0.46,1.05,-8,-2.04,-1.8,-1.43,-0.33,14,NaN,True
0,1,54,-2.33,-1.28,0.99,0.46,1.09,44,11,-0.61,0.54,1.28,-5,-0.2,1.69,0.81,-0.9,9.4,0.41,False
1,0,66,-0.06,1.24,1.87,0.56,2.29,43,-4,0.05,-1.02,0.85,23,-0.51,1.29,1.77,2.83,11.6,-1.77,True
1,1,62,-0.41,-0.96,0.62,-0.37,0.67,44,-3,-0.83,-0.12,1.3,6,0.91,-1.59,-0.12,-0.36,3.1,-0.33,True
1,1,41,0.09,-1.08,1.01,1.07,-0.11,40,-9,0.81,-0.65,0,-27,0.28,0.25,-0.2,-1.67,3.4,NaN,False
1,0,13,1.08,0.69,0.13,1.09,-1.2,58,2,-1.5,0.77,0.98,-7,0.51,1.48,1.37,0.2,4.3,NaN,False
0,1,130,-0.99,-0.73,0.59,-0.23,-1.04,26,18,-0.37,-0.41,2.16,-12,-0.22,2.09,0.55,0.21,3,0.51,False
1,1,168,-0.91,-0.11,0.66,1.37,0.79,86,-6,1.01,1.18,2.38,9,0.09,0.13,-0.41,-2.02,3.8,NaN,False
1,0,186,-3.01,-1.06,-0.2,3.32,-0.51,9,2,1.65,1.27,2.52,-17,0.28,2.34,0.91,1.66,21.5,NaN,False
1,1,215,0.46,-1.6,-0.5,1.6,0.82,84,-20,0.16,-0.68,0.28,-5,-0.67,-0.22,-0.67,-0.36,6.3,-1.39,False
0,0,47,0.41,-0.16,0.79,2.01,-0.53,16,-8,1.37,0.23,0.74,-23,-1.36,-0.54,-1.25,0.19,6.1,1.55,True
0,0,127,2.57,0.28,0.79,1.36,-1.4,32,-11,-0.91,0.39,0.7,-5,0.82,1.5,0.76,1.49,12.1,-0.31,True
1,0,24,-1.97,0.02,0.79,-0.43,-1.14,43,20,-0.84,-0.22,0.09,13,-0.06,-1.38,-1.08,0.52,6,NaN,False
1,1,104,0.88,1.08,-1.17,-1.23,-0.95,0,6,-1.71,-2.01,0.99,-2,-0.12,4.03,0.07,0.64,6.7,0.39,True
1,0,111,-2,-1.44,-0.6,1.57,0.88,34,-10,-0.37,0.43,0.18,24,0.62,1.17,2.3,1.12,10.7,-0.09,True
0,0,89,3.9,-0.65,0.37,2.05,-0.59,34,10,-0.29,-0.74,0.15,3,-1.53,1.71,1.14,-0.19,21.3,-2.13,True
1,1,58,0.03,0.09,-0.12,-1.82,-0.16,7,27,-1.83,-0.84,0.17,-7,0.13,-0.58,1.05,1.04,3.4,NaN,False
1,1,186,0.02,-1.96,0.19,-0.5,-0.6,61,-1,-0.61,-1.64,0.45,27,0.42,2.16,1.41,0.31,4.5,NaN,False
1,1,4,2.02,0.24,-1.15,1.89,-1.31,21,3,0.13,0.69,2.2,-8,-0.53,-1.21,-0.4,0.31,11.7,0.09,True
0,1,212,2.09,-1.61,0.28,0.32,-2.07,71,-9,-0.55,-1.91,0.04,20,1.56,-2.38,0.56,-0.42,11.4,-5.35,False
1,0,46,2.97,-0.1,2.21,0.47,-0.44,10,-6,-0.05,0.79,0.2,9,1.27,2.35,2.41,0.75,14.1,-4.37,False
1,0,85,-0.26,-0.27,-0.05,0.64,1.29,68,13,-0.78,0.92,0.44,3,-0.43,0.69,0.87,-0.05,3.2,NaN,True
1,0,155,-0.41,-1.39,-0.23,3.78,-0.66,49,22,1.64,-0.82,2.35,-18,0.94,-0.66,0.43,0.24,17.9,NaN,True
1,0,57,-2.5,-0.03,-0.8,-1.86,-0.28,18,22,-1.89,-0.33,0.01,-31,0.09,0.62,0.71,-0.12,10.4,1.31,False
1,1,99,1.1,-2.16,-0.76,1.94,0.84,51,21,0.48,0.27,0.64,22,-1.86,0.79,1.51,0.48,11.9,-1.27,True
0,0,16,-1.67,0.24,-0.12,1.85,0.83,17,11,0.42,0.93,0.22,0,-1.19,-1.74,-0.72,1.1,7,NaN,False
0,1,4,-1.84,0.06,-0.93,2.53,-0.47,40,12,0.27,0.5,1.07,40,0.13,1.64,0.19,0.95,11.9,-0.57,True
1,1,100,-0.02,1.2,-1.05,1,0.69,19,13,-0.38,0.42,1.05,16,-1.83,0.56,0.05,-1.76,5,0.21,True
1,1,22,0.43,-1.66,-1.27,0.33,-1.01,19,13,-0.05,1.25,0.4,-27,-0.79,0.14,0.93,0.12,5.7,0.73,False
1,0,96,0.3,0.02,-0.45,2.36,0.48,42,20,1,0.17,0.31,-19,-0.95,0.19,-1.01,0.04,6.1,0.79,False
1,0,15,0.76,-0.81,0.01,1.75,-0.87,3,-9,-1.32,1.32,0.62,14,0.36,1.17,1.51,2.85,5.1,1.65,False
0,0,36,-2.44,-0.05,-0.6,2.2,-0.42,6,-8,1.4,0.29,1.94,-9,-0.97,3.21,0.97,-0.63,12.3,2.45,True
1,1,176,0.54,-0.64,0.3,-0.42,-1.7,36,17,-0.48,1.08,0.3,0,0.5,1.68,0.43,-0.14,4.9,1.17,True
1,1,89,1.94,1.38,-0.96,3.8,-0.82,78,20,1,-0.76,0.43,-17,0.79,-0.02,-0.94,-0.45,21.7,0.29,False
1,0,49,-0.31,0.64,-0.03,2.02,0.09,53,13,1.05,-1.02,1.93,15,-0.25,1.19,-0.6,1.95,5.6,-1.23,True
1,0,20,2.97,0.55,-0.03,2.03,-0.28,2,-1,0.14,0.06,2.2,41,-2.94,-0.89,-1.07,-1.13,14.3,-4.93,True
1,0,6,-1.19,0.76,-0.45,2.04,1.36,80,20,1.08,0.72,0.57,16,1.44,2.51,0.38,0.49,9.2,-1.35,True
0,1,27,2.29,-0.23,1.61,0.82,0.2,36,13,0.77,0.64,0.08,-4,1.19,-0.78,0.45,0.68,8.6,-1.65,False
1,1,107,-1.61,0.32,-0.91,0.27,0.54,43,14,-0.47,1.68,0.77,-4,-0.59,-2.88,-1.22,1.04,3.9,NaN,False
0,0,40,-1.13,0.51,1.71,5.69,-0.02,5,28,3.9,2.25,0.67,-7,2.17,-0.52,-1.23,-1.85,36.8,1.69,False
0,0,43,1.16,-1.47,-0.27,0.27,-0.39,34,-1,-0.31,-0.57,1.52,17,-0.15,-0.63,0.34,0.31,4.8,-1.37,True
1,1,7,1.84,-0.89,-0.04,1,-0.06,24,-12,0,-1.16,0.74,6,2.34,-2.45,0.03,0.15,6.2,-0.29,True
0,0,102,0.58,-1.79,-1.39,1.51,-0.85,64,21,0.85,1.07,2.47,13,-0.73,-1.92,-0.19,-1.84,9.5,-0.93,True
1,1,11,-0.58,1.34,1.48,1.42,1.43,33,8,1,0.92,0.34,-12,-1.2,2.91,1.84,0.63,8.4,1.77,False
1,1,91,1.19,-2.28,0.23,0.69,0.02,78,-12,-0.39,0.1,0.51,-30,0.67,-0.89,-0.73,-0.66,8.1,-0.53,True
0,1,33,-0.23,0.08,0.37,1.01,0.64,66,16,0.38,-2.32,1.06,15,-0.15,-0.33,-0.05,-0.17,1.6,-2.69,False
1,0,280,1.81,-2.36,1.11,3.03,1.27,33,-7,1.01,-0.59,1.16,-19,-0.87,-0.29,1.22,0.47,20.9,NaN,False
0,1,75,2.27,-0.52,0.19,-0.31,0.79,30,19,-0.49,-2.37,0.58,-1,0.39,2.3,-0.25,1.12,7.2,-0.13,True
1,0,112,1.43,-1.03,-0.02,2.8,-0.36,43,17,0.5,1.86,0.47,18,-0.32,1.03,-0.07,1.5,12.1,NaN,True
0,1,304,-1.46,-0.83,1.57,1.19,-1.59,6,26,-0.25,-1.41,0.2,-2,0.26,0.96,2.55,0.98,10.2,3.01,True
1,1,45,-1.9,-0.37,-0.91,3.43,0.42,22,-11,0.88,-0.71,0.05,8,-0.4,-2.08,-0.02,-0.7,16.5,2.73,False
0,0,23,1.05,0.66,0.04,1.6,0.38,27,-9,-1.79,0.92,3.07,30,1.16,0.26,0.75,-0.25,5.2,0.83,True
0,1,183,-4.2,-0.77,1.32,0.37,-0.13,52,-18,0.32,-0.28,1.05,16,-3.24,-0.99,-0.37,-0.03,20.1,-0.95,False
0,1,34,-1.04,0.5,-0.27,0.35,-0.95,3,32,-0.2,0.99,1.38,30,-1.19,-1.9,-1.59,-0.3,2.4,NaN,False
0,1,72,-0.83,-0.12,-1.04,1.42,0.52,8,-8,0.18,2.27,0.71,15,-0.07,1.42,0.58,0.76,5.1,1.31,True
0,0,49,-2.44,0.1,0.43,1.53,0.32,14,13,1.23,-0.01,0.82,19,0.57,1.56,-0.73,0.31,8.6,-0.35,False
0,0,17,-2.18,-0.21,-0.99,1.75,1.23,46,15,0.09,-0.46,2.38,-6,0.37,-0.45,-0.66,-0.34,10.4,0.35,False
1,0,70,-2.04,-0.12,2.13,2.52,0.73,58,0,0.02,0.39,1.1,-7,-1.75,0.46,-0.19,-1.86,16.6,3.07,True
0,0,48,-2.05,-0.4,2.09,0.25,0.25,58,21,-1.06,0.86,0.61,-6,0.65,-0.07,-0.08,0.15,8.9,1.07,False
1,0,156,1.22,0.89,-0.3,1.86,0,19,27,1.42,0.06,0.19,15,0.24,2.58,-0.04,0.28,6.8,-1.43,True
1,0,51,0.27,-0.25,1.4,0.25,-0.02,74,7,0.24,2.01,0.77,-16,1.68,3.28,1.67,-0.21,3.2,-0.13,True
1,1,147,-0.12,0.64,2.02,0.84,0.71,113,27,0.54,0.82,0.27,-6,1.13,0.8,-0.35,-0.71,6.7,-2.09,True
1,1,57,0.8,0.05,2.06,1.95,0.28,13,29,1.03,-0.71,0.8,2,-0.41,-1.97,-0.78,-0.8,8.8,0.39,False
1,0,71,1.66,1.31,-1.14,0.77,-0.89,67,57,-0.44,-1.02,0.76,6,0.05,2.73,0.84,0.91,8.2,NaN,True
0,1,22,-2.24,0.71,0.35,1.09,0.18,140,13,0.85,-0.87,0.71,-19,0.13,-1.09,-0.8,-1.04,6.9,NaN,False
0,0,14,0.05,0.14,-0.74,3.46,-1.37,5,19,0.38,-0.62,1.31,22,1.34,1.01,1.27,0,14.4,NaN,False
1,1,45,0.62,-0.96,1.29,1.13,0.9,66,25,-1.37,1.45,1.4,16,0.07,-0.01,0.42,-0.83,5.1,0.83,False
0,0,88,1.84,-0.35,1.09,1,1.27,68,23,-0.36,-1.51,1.31,10,-1.97,-1.54,-0.62,-0.3,7.3,NaN,False
1,1,151,-1.16,0.43,-0.66,-0.19,-0.25,40,-3,-2.54,-0.24,1.29,2,0.27,4.16,2.37,0.5,2.1,NaN,False
1,1,86,-0.2,-2.1,-2.23,0.3,1.29,20,32,-1.02,-0.54,0.18,6,-1.29,0.5,1.11,-0.63,11.2,0.99,False
1,0,43,1.17,1.69,-1.74,0.84,0.53,66,-5,-1.57,-0.5,0.14,2,0.32,2.4,0.7,-1.62,8.2,NaN,False
1,1,329,1.29,2.07,-0.35,1.24,0.51,29,7,0.7,0.54,2.03,11,-0.65,-0.02,0.41,-1.69,7.9,NaN,False
1,0,78,-0.67,1.8,0.16,-0.37,0.6,22,27,-1.46,0.69,0.57,-20,-0.71,0.71,-0.53,-0.29,4.2,0.51,False
0,1,46,1.71,0.7,0.91,0.4,0.68,34,10,0.07,-2.11,0.07,18,-0.09,1.73,1.07,-0.52,4.9,NaN,False
1,1,103,-2.3,1.56,0.15,2.55,-0.31,7,16,2.27,1.07,0.31,10,0,-1.74,-0.52,0.12,15.3,NaN,True
1,1,57,1.83,1.2,-1.15,0.83,-0.36,49,15,-0.19,3.03,0.61,-8,-0.01,3.14,1.04,-0.87,7.9,NaN,True
0,0,76,-1.66,0.85,-0.63,2.64,0.16,23,10,1.05,-0.17,1.81,11,-0.44,0.95,0.23,-0.27,10.9,-0.15,False
1,0,93,0.22,-0.66,-1.4,0.41,0.22,97,-2,0.38,0.82,1.7,-4,0.08,-1.64,-0.9,1.06,3.7,-2.35,True
1,0,111,0.07,0.67,-0.23,-0.56,-1.44,54,-4,-1.26,-1.88,0.89,-8,0.66,1.19,0.1,-1.51,2.9,-0.53,False
1,0,65,-1.06,1.52,0.22,0.06,-0.38,67,44,-0.86,-0.25,0.32,-9,0.58,1.08,1.22,0.9,3.6,NaN,False
1,1,156,0.76,0.38,-0.13,2.02,-1.57,42,29,0.14,1.92,1.55,0,1.1,-3.71,-1.67,-1.44,8.3,NaN,True
1,1,13,2.78,-0.28,0.27,4.5,-0.78,62,-5,1.76,-0.26,0.94,24,-1.42,-2.84,-1.87,-0.98,29.7,-2.29,True
0,0,155,1.92,-0.17,2.42,0.06,0.59,34,2,0.01,-0.98,0.63,-34,0.27,3.33,0.37,-0.04,10.9,-1.27,True
1,0,59,-3.83,1.32,-1.07,-0.09,0.08,19,-7,-0.99,2.52,0.16,7,0.75,-0.63,-1.26,1.07,17.6,NaN,False
1,1,92,0.82,-1.26,0,2.84,0.67,64,-8,0.85,1.74,0.23,-40,-0.54,-2.13,-2.32,1.01,10.8,0.81,False
1,0,7,0.98,2.13,-0.67,1.81,0.59,36,0,0.37,0.06,0.43,9,-2.91,0.65,-0.77,-0.71,10.6,NaN,True
1,1,89,-0.44,0.03,0.21,2.49,-1.17,15,-3,0.34,-0.47,0.53,-23,0.2,0.55,-0.6,-0.56,7.8,NaN,False
1,1,202,-0.37,0.21,2.59,0.61,-1.42,18,19,-1.79,-1.42,1.67,13,1.53,1.05,0.65,-1.49,9.3,NaN,False
0,1,45,-2.64,-0.54,-1.03,0.1,-0.71,47,12,-0.69,-0.74,1.1,-21,-0.35,2.56,1.51,1.66,8.8,0.31,False
0,0,15,-0.85,-1.82,0.35,-0.17,2.7,10,14,-1.9,1.17,1.29,-17,0.5,1.01,0,3.64,11.5,NaN,False
1,0,143,1.48,2.81,1.07,0.49,0.24,32,9,0.39,0.98,0.31,-2,-0.09,0.79,-0.48,1.77,12.5,NaN,True
1,0,143,-2.01,-0.04,-0.94,0.84,0.45,10,10,-0.54,-0.96,1.84,20,0.04,-2.7,-0.74,-0.6,6.8,-0.61,True
1,1,121,1.96,2.28,-0.49,-0.55,0.4,59,-3,-1.4,1.11,1.18,-3,-0.32,1.38,-1.18,-1.09,10.7,NaN,True
1,1,19,0.84,0.86,-0.25,-1.03,0.95,20,20,-1.07,-0.9,0.69,-41,1.01,-1.61,-0.7,1.8,3.5,0.99,False
1,0,96,2.21,0.74,-0.85,0.56,-1.04,85,-15,-0.04,0.03,0.08,-15,0.97,4.85,1.68,0.81,7.5,NaN,False
1,0,267,0.82,0.27,-1.2,2.16,-1.83,34,8,0,0.53,0.98,10,0.35,2.45,0.03,0.43,10.2,0.13,False
1,0,124,1.54,0.03,-0.64,1.61,0.7,3,9,0.25,-1.16,1.31,1,-0.26,1.52,0.35,0.62,5.9,NaN,False
1,1,155,-1.46,0.11,0.58,1.81,-0.95,44,-14,1.65,0.26,0.33,16,-0.73,2.88,0.33,-1.85,6.7,-1.07,False
1,1,100,-0.17,-1.73,-0.49,2.72,1.14,39,16,1.28,-0.81,1.25,4,0.6,1.22,-0.13,-0.44,12,0.49,False
0,0,57,-0.12,-0.59,1.02,1.47,2.28,64,6,-0.49,-0.52,1.29,33,-1.09,1.13,1.17,-0.1,9.8,-1.83,True
0,0,135,-0.14,0.58,-1.69,0.64,1.36,40,11,0.16,1.88,0.08,-2,-1.18,0.81,0.08,0.71,6.5,NaN,True
1,0,43,0.24,-1.16,0.01,-1.49,-0.56,41,0,-1.97,0.27,0.17,11,-1.3,-2.13,-1.84,-1.07,3.9,-0.87,False
1,1,110,1.06,1.02,0.64,2.73,0.1,58,3,2.61,-0.23,0.47,4,0.58,1.75,0,-0.59,11,NaN,True
1,1,154,1.04,0.32,-0.48,3.16,0.17,39,6,-0.44,0,0.26,26,0.97,-2.01,-1.41,-1.72,11.4,0.91,False
1,1,42,-0.94,-2.02,1.57,1.51,0.59,54,3,-0.36,1.41,2.53,-19,-0.79,-0.63,-0.58,0.68,11.1,1.61,True
1,0,76,-1.37,-0.41,0.94,1.92,-0.14,16,2,0.11,-0.31,2.71,-20,0.29,0.32,0.37,-0.62,7.6,NaN,True
0,0,77,-2.41,-0.01,-0.87,1.3,0.03,39,21,-0.13,-1.42,0.42,9,1.26,4.32,1.64,-0.37,8.3,NaN,False
1,1,86,0.09,-0.1,0.91,0.6,-0.6,45,23,0.2,1.02,0.67,-22,-1.02,-0.77,0.42,-0.74,1.6,NaN,False
0,0,233,-2.39,1.29,0.09,0.31,2.24,19,-20,-1.5,-0.39,0.28,-1,0.82,-1.64,-0.26,0.15,12.5,NaN,False
1,0,159,2.26,0.01,-0.62,0.54,0.26,8,-17,0.45,0.45,0.12,22,-1.45,-2.52,-2.12,-0.32,5.9,-4.07,False
1,1,59,0.15,0.3,-1.38,-1.17,-0.4,16,4,-1.51,0.08,2.06,1,-1.23,3.6,2.2,0.16,3.5,0.85,False
0,1,38,2.52,0.23,-1,1.12,0.26,36,-3,-0.11,-0.25,0.81,-23,-0.52,-1.15,0.19,0.96,9.7,-0.55,True
0,1,87,1.2,0.83,0.8,-1.28,-0.08,23,-14,-1.71,0.43,1.97,-10,-2.54,-3.55,-1.23,0.23,5.4,0.27,True
1,1,144,-0.48,1.02,-1.35,0.09,-0.49,47,26,-0.25,-0.17,0.79,-5,-0.09,-1.75,-1.9,2.14,4.3,1.03,True
0,1,191,-0.72,0.56,0.19,1.74,1.07,41,-4,-0.81,1.15,1.17,-33,0.23,-0.15,-1.18,0.65,6,NaN,True
1,1,127,-1.33,0.94,-0.85,-0.04,-0.5,53,-6,-0.26,0.96,0.31,23,-0.73,0.1,0.98,0.58,3.6,-2.15,False
1,0,243,-0.71,-1.12,-0.13,2.17,-0.19,91,18,-0.01,-0.27,0.58,4,0.91,0.15,-1.65,0.61,7.5,NaN,True
0,0,27,-0.59,-0.76,0.29,0.73,1.07,45,5,0,-0.6,0.83,-21,1.34,3.14,1.83,-0.53,3.7,0.47,True
1,0,75,0.98,0.08,-0.86,-0.84,1.92,1,-11,-1.63,1.01,1.16,-3,0.17,-2.42,0.13,1.8,7.1,0.53,True
0,0,37,-0.25,-1,-2.49,3.11,-0.85,101,-12,1.42,-0.85,0.88,-17,-0.53,0.64,0.45,-0.45,18.7,NaN,True
1,1,26,-1.57,-1.01,-0.23,0.96,0.31,27,26,-0.99,0.82,1.7,22,-0.03,-0.63,-0.65,0.58,4.6,-0.71,False
0,0,16,2.25,0.67,-0.18,1.44,1.01,50,30,0.6,-0.34,0.08,-5,-1.06,0.93,0.78,0.46,8.6,-2.33,False
0,0,92,-0.87,0.6,1.8,2.54,0.8,29,13,1.58,0.58,1.16,-22,-1.42,0.51,0.73,-1.34,11.4,1.01,False
1,0,14,-0.42,0.85,-0.36,3.02,0.28,24,29,1.1,0.15,0.38,-32,1.7,-0.71,-0.15,0.34,10.2,NaN,False
0,1,157,1.92,0.26,-1.19,1.16,-0.09,63,18,-0.75,0.47,0.34,8,1.26,-0.81,-1.14,-2.13,7.5,-0.49,True
0,1,65,-0.93,0.23,0.7,1.4,1.71,51,-25,0.87,0.76,0.81,-25,-0.24,0.99,0.07,-1.07,7.3,1.65,True
0,1,100,1.16,0.19,-1.56,1.38,0.36,35,-24,-0.43,-1.1,0.48,-10,1.01,-1.04,-1.3,-0.26,5.8,0.01,False
1,1,24,-2.93,-0.5,0.08,1.3,-2.85,27,-10,0.59,0.85,1.24,25,0.19,0.27,0.97,-0.76,19.7,-0.11,True
1,0,40,-1.69,1.62,-0.44,2.16,1.21,20,21,2.12,0.11,0.45,-7,0.33,-0.21,-0.93,-0.62,11.8,0.57,False
0,1,166,-0.55,-0.97,-0.23,0.34,0.13,73,21,-0.7,-0.25,1.84,19,0.64,-1.29,-0.21,-0.69,2.4,-1.79,True
1,0,120,-0.9,-0.15,0.57,1.71,0.33,90,20,-0.85,0.09,0.3,-14,-0.31,1.48,-0.43,-1.76,5.2,1.25,True
1,1,136,-2.28,-0.62,-0.05,2.43,0.78,9,-4,0.77,2.14,0.62,-17,1.94,5.68,1.08,-0.64,13.1,3.71,True
1,0,16,2.22,-0.82,1.36,-0.08,-0.67,13,36,-0.36,-1.28,1.06,7,-0.21,2.35,0.74,-0.38,7.9,-2.97,False
0,1,203,-0.04,0.49,0.08,1.88,1.99,9,-6,-0.42,0.49,0.81,-10,0.93,1.14,-0.66,0.34,8.7,2.99,True
0,1,83,-2.99,0.16,1.93,2.34,-0.19,9,7,0.53,0.74,0.3,37,-0.6,-0.52,-0.87,-0.88,19.2,NaN,True
1,1,128,2.63,-0.57,0.12,1.72,-0.31,3,14,1.05,-0.81,0.43,-15,0.87,1.46,-1.65,-0.64,11.3,NaN,True
1,0,67,-0.96,-0.61,0.75,3.72,-1.2,121,3,0.63,-0.15,0.25,5,-1.03,0.39,1.38,-0.15,17.1,NaN,False
1,1,184,0.19,-0.85,-2.46,1.45,-0.69,7,-34,-0.7,0.47,0.81,-4,-1.96,-1.87,-0.56,-0.75,9.4,2.43,False
0,0,81,-2.94,1.68,-2.2,-0.07,-1.46,9,29,-2.11,-0.5,1.29,-11,-1.53,1.21,0.62,0.62,18.4,1.87,False
1,0,32,0.55,0.46,-0.4,1.61,0.39,108,5,1.36,-0.64,1.36,8,-1.04,-0.15,-0.38,-0.34,3.4,NaN,False
0,0,154,-3.01,-2.11,-1.48,2.73,0.7,60,-9,1.46,-0.43,0.79,-15,-0.22,-1.84,-1.54,0.4,23.6,-0.11,False
0,0,93,-1.86,-0.29,0.54,-1.35,0.23,54,24,-1.62,0.71,2.22,17,-0.5,-2.3,-1.76,1.43,6.7,-0.71,True
1,0,151,-1.14,0.06,0.02,1.39,2.48,26,-20,0.35,-2.11,0.44,18,0.84,-0.48,-0.4,-2.26,9.4,-1.19,False
1,1,157,-2.45,-1.61,0.18,1.77,-0.76,85,25,1.05,0.48,0.15,-7,0.57,-1.7,-1.09,-1.35,13.3,-0.41,True
1,0,146,-1.08,-1.42,0.2,0.62,1.53,70,8,0.01,0.92,0.6,-20,0.39,-0.25,-0.01,-0.32,6.9,-0.15,True
0,0,238,2.21,2.25,0.05,1.73,-1.08,9,5,-1.52,-0.14,0.18,2,-0.08,0.17,0.34,-1.18,15.1,NaN,True
0,0,26,0.54,0.48,1.23,1.77,-0.49,36,43,0.89,0.8,0.96,-12,-0.35,-0.72,-1.3,1.1,5.4,NaN,False
1,1,20,-0.48,-1.12,-0.05,2.42,0.75,66,-27,1.27,0.63,1.42,33,0.68,-0.24,0.27,0.55,8.9,-3.55,True
1,0,191,-0.3,-0.86,-0.49,3.71,2.08,29,29,1.5,2.15,0.24,20,-0.48,2.05,-0.34,-0.49,20.2,0.65,True
0,1,47,2.09,1.66,0.77,0.98,-0.58,11,2,0.12,0.73,0.42,26,-0.2,0.14,-0.44,-0.81,9,NaN,False
1,0,24,2.22,-0.19,0.45,-0.67,0.17,26,12,-1.68,-1.06,1.74,23,-1.05,-0.65,-0.99,-1.03,5.6,NaN,False
1,1,128,-1.64,-0.09,-1.16,0.47,-0.63,67,5,0.32,0.33,1.01,-30,-1.07,-1.36,-1.06,0.6,4.7,0.47,False
1,1,61,-0.36,1.41,-0.89,0.89,-1,0,-8,-0.8,0.6,1.39,-19,0.1,0.84,0.38,1.08,5.7,NaN,True
1,1,238,1.69,-0.82,0.75,1.15,-0.12,26,27,0.02,-0.95,1.55,-25,-0.18,-0.86,0.43,-0.3,6.4,-0.21,True
1,0,40,-1.33,-0.72,-0.51,2.4,-0.43,29,8,0.65,0.22,0.69,16,0.77,2.12,1.51,1.02,9.5,0.27,True
1,0,38,-2.12,-0.25,1.14,1.45,-1.8,88,-1,-0.51,0.77,0.99,-26,-0.44,-1.09,-0.28,-1.57,12.2,-0.29,True
1,0,54,2.69,-0.41,-0.41,0.18,-1.29,74,13,-1.13,-0.87,0.86,-14,-2.3,-1,0.81,0.46,9.3,-3.63,False
1,1,9,-3.07,-0.88,1.68,0.82,1.58,33,1,0.8,-0.49,0.38,-5,0.54,-0.38,0.02,1.51,16.2,-0.09,False
